SampleID,ASV,Count
1000A,ASV_1216,14
1000A,ASV_12580,150
1000A,ASV_12691,260
1000A,ASV_135,434
1000A,ASV_147,79
1000A,ASV_15,287
1000A,ASV_16,361
1000A,ASV_184,8
1000A,ASV_19,42
1000A,ASV_20,501
1000A,ASV_21,89
1000A,ASV_2202,8
1000A,ASV_239,29
1000A,ASV_25,2629
1000A,ASV_253,154
1000A,ASV_260,200
1000A,ASV_29,865
1000A,ASV_3005,694
1000A,ASV_302,217
1000A,ASV_3048,144
1000A,ASV_309,664
1000A,ASV_32,15
1000A,ASV_34,211
1000A,ASV_345,12
1000A,ASV_3453,13
1000A,ASV_35,79
1000A,ASV_357,501
1000A,ASV_369,66
1000A,ASV_3737,208
1000A,ASV_3745,18
1000A,ASV_44,243
1000A,ASV_4544,2
1000A,ASV_50,169
1000A,ASV_509,20
1000A,ASV_51,48
1000A,ASV_54,9
1000A,ASV_56,31
1000A,ASV_58,19
1000A,ASV_6,21
1000A,ASV_60,33
1000A,ASV_62,8
1000A,ASV_685,15
1000A,ASV_740,7
1000A,ASV_78,531
1000A,ASV_8,737
1000A,ASV_82,89
1000A,ASV_87,501
1000A,ASV_9,120
1000A,ASV_92,389
1000A,ASV_95,281
1000B,ASV_10,47
1000B,ASV_104,1065
1000B,ASV_115,70
1000B,ASV_1365,46
1000B,ASV_139,26
1000B,ASV_15,10
1000B,ASV_157,84
1000B,ASV_1752,5
1000B,ASV_19,521
1000B,ASV_230,11
1000B,ASV_234,22
1000B,ASV_264,62
1000B,ASV_266,4
1000B,ASV_2751,5
1000B,ASV_3005,46
1000B,ASV_32,73
1000B,ASV_34,30
1000B,ASV_342,21
1000B,ASV_4202,7
1000B,ASV_433,82
1000B,ASV_4544,2
1000B,ASV_457,12
1000B,ASV_4894,8
1000B,ASV_500,27
1000B,ASV_51,71
1000B,ASV_6,8
1000B,ASV_635,37
1000B,ASV_655,5
1000B,ASV_78,53
1000B,ASV_7990,6
1000B,ASV_8,486
1000B,ASV_81,143
1000B,ASV_9,5
1000B,ASV_924,193
1000C,ASV_104,4436
1000C,ASV_1093,96
1000C,ASV_12692,250
1000C,ASV_12702,109
1000C,ASV_12707,86
1000C,ASV_12708,83
1000C,ASV_2,7
1000C,ASV_55,478
1000C,ASV_8,5
1000C,ASV_9,3
1000C,ASV_924,993
1000C,ASV_962,99
1000D,ASV_104,5927
1000D,ASV_1145,9
1000D,ASV_16,436
1000D,ASV_1721,8
1000D,ASV_177,7
1000D,ASV_196,174
1000D,ASV_2,16
1000D,ASV_239,291
1000D,ASV_25,4
1000D,ASV_55,55
1000D,ASV_7708,14
1000D,ASV_8,1451
1000D,ASV_924,1299
1000E,ASV_104,4140
1000E,ASV_1145,9
1000E,ASV_239,30
1000E,ASV_25,3
1000E,ASV_55,4
1000E,ASV_583,22
1000E,ASV_8,53
1000E,ASV_924,896
1000E,ASV_9427,6
1001,ASV_103,61
1001,ASV_115,30
1001,ASV_125,27
1001,ASV_135,37
1001,ASV_14421,20
1001,ASV_147,65
1001,ASV_15,59
1001,ASV_184,106
1001,ASV_19,388
1001,ASV_20,61
1001,ASV_21,26
1001,ASV_29,24
1001,ASV_332,12
1001,ASV_34,137
1001,ASV_35,35
1001,ASV_353,12
1001,ASV_364,5
1001,ASV_375,11
1001,ASV_3896,601
1001,ASV_44,723
1001,ASV_4581,37
1001,ASV_4662,16
1001,ASV_47,132
1001,ASV_58,30
1001,ASV_6,53
1001,ASV_60,14
1001,ASV_62,253
1001,ASV_648,2
1001,ASV_66,13
1001,ASV_739,6
1001,ASV_740,1
1001,ASV_758,17
1001,ASV_760,45
1001,ASV_783,90
1001,ASV_809,42
1001,ASV_9272,24
1001A,ASV_10,35
1001A,ASV_103,747
1001A,ASV_104,11
1001A,ASV_107,84
1001A,ASV_12722,42
1001A,ASV_12725,29
1001A,ASV_12751,9
1001A,ASV_13,983
1001A,ASV_150,6
1001A,ASV_16,85
1001A,ASV_1608,122
1001A,ASV_19,17
1001A,ASV_2,16
1001A,ASV_20,216
1001A,ASV_202,31
1001A,ASV_221,268
1001A,ASV_234,15
1001A,ASV_238,52
1001A,ASV_2388,76
1001A,ASV_244,198
1001A,ASV_29,748
1001A,ASV_3,18
1001A,ASV_302,334
1001A,ASV_309,76
1001A,ASV_310,6
1001A,ASV_3113,354
1001A,ASV_32,124
1001A,ASV_339,5
1001A,ASV_342,31
1001A,ASV_3561,64
1001A,ASV_3631,17
1001A,ASV_44,245
1001A,ASV_45,128
1001A,ASV_4544,6
1001A,ASV_50,389
1001A,ASV_51,152
1001A,ASV_55,5
1001A,ASV_586,64
1001A,ASV_6,464
1001A,ASV_66,8
1001A,ASV_685,79
1001A,ASV_740,15
1001A,ASV_7462,63
1001A,ASV_8,841
1001A,ASV_9,82
1001A,ASV_902,2
1001A,ASV_92,88
1001B,ASV_10,1375
1001B,ASV_103,110
1001B,ASV_1036,5
1001B,ASV_10593,7
1001B,ASV_10758,1
1001B,ASV_11401,67
1001B,ASV_12725,10
1001B,ASV_13,26
1001B,ASV_136,13
1001B,ASV_1605,124
1001B,ASV_1610,6
1001B,ASV_1643,19
1001B,ASV_1877,12
1001B,ASV_1893,24
1001B,ASV_19,503
1001B,ASV_20,58
1001B,ASV_212,4
1001B,ASV_221,3
1001B,ASV_234,8
1001B,ASV_276,247
1001B,ASV_29,15
1001B,ASV_3,1268
1001B,ASV_302,8
1001B,ASV_310,19
1001B,ASV_332,440
1001B,ASV_34,108
1001B,ASV_4495,3
1001B,ASV_50,44
1001B,ASV_51,42
1001B,ASV_586,90
1001B,ASV_588,506
1001B,ASV_596,31
1001B,ASV_6,9232
1001B,ASV_62,208
1001B,ASV_70,41
1001B,ASV_710,4
1001B,ASV_757,65
1001B,ASV_79,156
1001B,ASV_8,108
1001B,ASV_97,14
1001D,ASV_12609,22
1001D,ASV_12742,18
1001D,ASV_175,13
1001D,ASV_19,4
1001D,ASV_2,10
1001D,ASV_234,8
1001D,ASV_239,16
1001D,ASV_2530,12
1001D,ASV_305,5030
1001D,ASV_776,7
1001D,ASV_8,31
1001D,ASV_85,3429
1001E,ASV_104,59
1001E,ASV_12609,20
1001E,ASV_12736,20
1001E,ASV_12741,19
1001E,ASV_1424,10
1001E,ASV_234,5
1001E,ASV_3,1369
1001E,ASV_305,3394
1001E,ASV_8,12
1001E,ASV_810,4
1001E,ASV_85,38
1001F,ASV_1484,5
1001F,ASV_1600,16
1001F,ASV_3,7
1001F,ASV_39,14
1001F,ASV_472,3644
1001F,ASV_510,16
1001F,ASV_5313,30
1001F,ASV_703,2
1001F,ASV_730,162
1001F,ASV_8,8
1001F,ASV_9,5
1002,ASV_103,209
1002,ASV_1217,10
1002,ASV_13,10
1002,ASV_135,34
1002,ASV_15,64
1002,ASV_184,30
1002,ASV_19,342
1002,ASV_2,22
1002,ASV_20,88
1002,ASV_287,6
1002,ASV_29,22
1002,ASV_321,43
1002,ASV_34,28
1002,ASV_35,13
1002,ASV_364,17
1002,ASV_375,18
1002,ASV_3896,77
1002,ASV_44,498
1002,ASV_508,3
1002,ASV_58,335
1002,ASV_596,11
1002,ASV_6,167
1002,ASV_60,13
1002,ASV_62,12
1002,ASV_648,1
1002,ASV_739,15
1002,ASV_740,6
1002,ASV_79,29
1002,ASV_9272,91
1002A,ASV_1012,17
1002A,ASV_1028,58
1002A,ASV_109,270
1002A,ASV_11220,16
1002A,ASV_113,46
1002A,ASV_1136,65
1002A,ASV_1168,66
1002A,ASV_123,48
1002A,ASV_12699,151
1002A,ASV_12723,41
1002A,ASV_12732,28
1002A,ASV_12737,20
1002A,ASV_1320,7
1002A,ASV_1322,3
1002A,ASV_135,261
1002A,ASV_136,187
1002A,ASV_143,150
1002A,ASV_15,11
1002A,ASV_155,325
1002A,ASV_1754,6
1002A,ASV_19,66
1002A,ASV_20,482
1002A,ASV_201,60
1002A,ASV_203,12
1002A,ASV_205,21
1002A,ASV_2050,198
1002A,ASV_206,14
1002A,ASV_21,15
1002A,ASV_212,64
1002A,ASV_221,8
1002A,ASV_226,152
1002A,ASV_25,935
1002A,ASV_267,22
1002A,ASV_27,14
1002A,ASV_273,40
1002A,ASV_2878,7
1002A,ASV_289,6
1002A,ASV_29,13
1002A,ASV_309,826
1002A,ASV_34,294
1002A,ASV_345,44
1002A,ASV_348,9
1002A,ASV_35,84
1002A,ASV_356,66
1002A,ASV_357,163
1002A,ASV_363,91
1002A,ASV_3678,6
1002A,ASV_3796,1
1002A,ASV_3890,20
1002A,ASV_40,1382
1002A,ASV_410,73
1002A,ASV_44,13
1002A,ASV_4434,5
1002A,ASV_50,758
1002A,ASV_51,9
1002A,ASV_54,17
1002A,ASV_564,3081
1002A,ASV_58,70
1002A,ASV_583,26
1002A,ASV_587,41
1002A,ASV_594,100
1002A,ASV_60,24
1002A,ASV_62,98
1002A,ASV_627,221
1002A,ASV_63,64
1002A,ASV_642,91
1002A,ASV_6450,16
1002A,ASV_668,66
1002A,ASV_685,13
1002A,ASV_711,11
1002A,ASV_737,13
1002A,ASV_740,1
1002A,ASV_760,38
1002A,ASV_79,7
1002A,ASV_8,12
1002A,ASV_80,25
1002A,ASV_82,36
1002A,ASV_85,95
1002A,ASV_866,81
1002A,ASV_9,1101
1002A,ASV_93,5
1002A,ASV_95,550
1002A,ASV_9776,46
1002B,ASV_1012,17
1002B,ASV_109,122
1002B,ASV_1124,59
1002B,ASV_113,149
1002B,ASV_1136,53
1002B,ASV_1168,125
1002B,ASV_120,16
1002B,ASV_123,54
1002B,ASV_12728,35
1002B,ASV_12732,3
1002B,ASV_1319,30
1002B,ASV_1320,45
